[2019-05-16 16:09:40,781][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:10:10,744][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.7gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:10:40,708][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.6gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:10:40,709][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:11:10,673][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.6gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:11:40,637][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.3gb[7.3%], shards will be relocated away from this node
[2019-05-16 16:11:40,638][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:12:10,601][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.5gb[7.4%], shards will be relocated away from this node
[2019-05-16 16:12:40,565][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.1gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:12:40,566][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:13:10,532][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.1gb[7.7%], shards will be relocated away from this node
[2019-05-16 16:13:40,496][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.1gb[7.7%], shards will be relocated away from this node
[2019-05-16 16:13:40,499][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
